Layer1, [(1, 872, 643, 229)], Accuracy - 73.73853211009175
Layer2, [(1, 872, 643, 229)], Accuracy - 73.73853211009175
Layer3, [(1, 872, 643, 229)], Accuracy - 73.73853211009175
Layer4, [(1, 872, 643, 229)], Accuracy - 73.73853211009175
Layer5, [(1, 872, 643, 229)], Accuracy - 73.73853211009175
Layer6, [(1, 872, 643, 229)], Accuracy - 73.73853211009175
Layer7, [(1, 872, 643, 229)], Accuracy - 73.73853211009175
Layer8, [(1, 872, 643, 229)], Accuracy - 73.73853211009175
Layer9, [(1, 872, 643, 229)], Accuracy - 73.73853211009175
Layer10, [(1, 872, 643, 229)], Accuracy - 73.73853211009175
Layer11, [(1, 872, 643, 229)], Accuracy - 73.73853211009175
Layer12, [(1, 872, 643, 229)], Accuracy - 73.73853211009175
